web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574954104-4833","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Sweeta","Letscom Wireless Earbuds, Upgraded Bluetooth 5.0","May 19, 2019","The wireless buds are amazing for the price, connecting it to my pixel phone was super easy and sound quality is really good..with jazz and country music I think this pair of earbuds is amazing, coming to the charging case it holds 2 charge cycles which is pretty easy for 3 days..the material is really strong which will last for long..packing included additional buds of different sizes and a charging wire to charge, it came with a really nice packing from the seller...Must try product !!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews&sortBy=helpful"
"1574954101-4816","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","John","Honest review after having several.","July 13, 2019","Pros:
Decent sound quality, pretty sound battery life, fits perfectly.
Cons:
Tedious costumer service, easily broken, cord is annoying, whistles in wind.
More details:
Sound quality, If your the sort of person who really cares about this then it’s not for you.battery life if you want something to last you all day this is not for you(1 to 2 recharges if used all day each takes an hour). Fits perfectly in the ear it has options that cover the needs of 98% of people who buy it.
Cons rant:
These headphones would usually last me just outside the warranty, so this time I got the protection plan so that if it broke I could have it replaced, so when one day I find one side is ten times quieter than the other normal side. So I look for the email I was supposed to use when they needed to be replaced, it was never sent. Mistakes happen whatever, so I go to my orders in amazon app and I get and error message when I try to contact manufacturer for the protection plan(it was just this order that wasn’t working)
Managed to get general costumer service to tell them my situation when it is obvious it needs to be replaced we switch to phone.

 I told them I wanted a replacement he said he would be happy to help and asked me to hold as he connected me to the protection plan agency, took 20 minutes... only to be put on the line with the most condescending person I have ever met, summary was they couldn’t lift a finger to keep there end of the bargain because it was still within the warranty. The person the line apologised and said he would take care of the problem, full instant refund I agreed just wanting it to be over(didn’t want to wait another 20 minutes to get connected to the headphone company). I get a full 2 dollar refund of the plan and had to go through the process of sending in the headphones to get a refund(wanted a replacement) been a week since I sent it in no response.

If you fall asleep using these they might break, if you take them outside on a cold day they will break, if you drop them too many times they might break, if you fall and they are in your pocket they will break, if you accidentally step on them because they give you the tiniest charging cord possible they will break(even in slippers). These are great for you if you are the most careful person in the world.I’ve always got these for the price I’ve had 5 by now...

If you have to cord in the front it wraps on it’s self, in a way that is uncomfortable and looks weird, if you have the cord in the back and are not equally ambidextrous in every part of your movement, then the cord condemns you to awkward one sided cord where it is so far to one side that looking towards it pulls out the headphone, and looking away feels awkward and further pushes it to that side. Unless you don’t move your head you’ll have to reset it every 15 to 20 minutes.

If you plan to go biking with these don’t, just don’t.Or if you want to use these outside and you don’t live it a city the whistling will be so loud and varying that listening to anything is near impossible unless you’re ok travelling about keeping your head permanently to the right or left to mitigate the whistling.

If there was a reason to buy these it’s probably for the price or it’s expendability. thanks for reading my rant hope it could help.
and company if you’re reading this my review can’t be bought, at best an update if you fix my problem and fix your product.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews&sortBy=helpful"
"1574954097-4795","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Gregory Fizdale","Good wireless earbuds for the price point","March 15, 2019","The Letscom earbuds are a pretty good option for wireless earbuds at this price point. The sound isn’t as good as the Apple AirPods but those will cost you $150. Also they won’t cancel all the noise around you but do a good job with a lot of it. They come in black case which feels like leather. I would assume it isn’t but the case is nice. They are very easy to sync up to an iPhone.  There are 3 different sizes of rubber tips for the earbuds which is nice for a custom fit in your ear canal. The earbuds are comfortable to wear for the most part. I find if I wear them for an extended period of time, they will start to bother me. I also have the comfort issue with my Apple AirPods.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews&sortBy=helpful"
"1574954090-4765","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Anonymous","Updated review - Actually, they're pretty good","January 8, 2019","Initially I posted an admittedly over critical review of these earphones. After spending a little more time using them, it is my opinion that they are actually pretty good, considering the price paid. Sound is decent, battery life is really good and bluetooth calling is very good. They fit well to, even with glasses on. My only gripe is you can see a reflection of the bluetooth light blinking, when you wear your glasses.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews&sortBy=helpful"
"1574954114-4866","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","bee_pdx","Durable, great sound! Very comfortable.","July 7, 2019","I bought these three months ago and have truly run them through their paces! I wear them at the office, at the gym, outside for runs, and at home. They do pretty well for calls, nice bass and full sound for music (I only like headphones with good bass), shows and podcasts. I appreciate their long battery life and durability. I also love how the cord doesn’t get tangled when I toss it in my purse or car console. They’re also very comfortable, they don’t hurt, and they STAY in my ear- it’s so hard to find earbuds that fit my small ears, sometimes after a while other headsets will make inside my ears ache even if they start out comfortable.

One thing that I would improve is that when the battery is low, the notification could be earlier, and less startling/intrusive (a robotic voice says the battery is low, repeatedly and incessantly, and then they die within a couple minutes.) That said, they do hold a charge for a long time and charge up quickly!
I also can’t use them to talk on the phone if there is background noise at all- my callers can’t hear me well if I’m in the car or in a crowd (i.e. at the store), but I also haven’t had any Bluetooth earbuds that are good for talking so I wasn’t upset about that especially for what I need them for at this price!
Haven’t had any issues connecting to multiple devices and I expect them to last a while.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews&sortBy=helpful"
"1574954116-4884","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Amazon Customer","Great all around","July 7, 2019","I was a bit skeptical of the product before buying it because of the relatively lower price. Months later, they still hold up very well! They are great for a college student who doesn't want to walk a mile across campus without an audiobook or music playing. My previous challenge was that I like wearing dresses and gym shorts--which often do not have pockets to accommodate my phone--and I don't like having to hold my phone all the time. I was also tired of having to be careful with wires and tangles. These headphones gave me the option of setting my audio, tossing my phone in my bag, and rushing off to the next class hands free.

I also don't have to worry about them falling out as I'm walking which is nice. I have small ear canals, so I always have to go to the smallest earbud available, and even that isn't satisfactory sometimes. Not only do the smallest options with these earphones fit, but the ear hook makes the earphones falling away from my ears impossible. I wear glasses, so I was worried initially about discomfort when the glasses and the ear hook overlap, but the hook is soft and flexible enough while also maintaining its purpose that I don't feel discomfort when using them.

At first I was worried about battery power. I commute and don't want to sacrifice listening time to charge the earphones when I'm out and about. The battery power is more than enough to last me the entire day from sunrise to past sunset.

I can't speak to the audio quality in detail as a not-audiophile, but as the average modern, tech-savvy young person with reasonable standards, I find the audio quality satisfactory to my needs. As for the noise cancelling, I haven't tried to activate the full ear seal since earphones like these create a suction that hurts my ears. That is a personal thing though so I'm not sure how it affects others' comfort.

TLDR; Great earphones for a great price! Bough a second pair for my mom because of how much I enjoy these!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews&sortBy=helpful"
"1574954120-4896","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Frank Rich","Fantastic Battery Life, decent sound quality for a decent price","June 24, 2019","As an avid hiker and jogger, I recently purchased these lightweight sports earbuds to use during hikes or jogging, and after two weeks of use the battery still has not needed to be recharged! I am very impressed with the earbuds, and for the price they have decent sound quality. They seem durable enough to last maybe 1-3 years, we shall see how the battery lasts!

I'll update my review if I encounter any issues. Four stars because they have absolutely no bass whatsoever, and I have older earbuds that had a little bit better sound quality, but otherwise fantastic earbuds!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews&sortBy=helpful"
"1574954097-4797","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","April","Best cheap bluetooth earbuds I've tried - and I've tried a lot!","November 19, 2019","These are the best cheap bluetooth earbuds I've purchased! I have tried probably 6 different brands on Amazon. My favorites had been the SoundPeats Q30, but they were just good enough - not great.

These Letscom came highly recommended by someone I know, so I thought I'd give them a try. I had been using my son's AirPods (because they were better than the SoundPeats and he wasn't using them) so I had something of quality to compare them to. They are definitely more noise-canceling than AirPods, and they're louder. The sound quality is only slightly less than AirPods, but not enough to complain about. I do wish they had a richer bass sound, as I like to listen to music with a lot of bass. But overall, the sound quality is very good.

At first I didn't think they were that great, but once I changed out the ear piece things, they fit just right in my ears and the sound was loud. I actually had to turn the volume down a bit because they were too loud.

My favorite feature is the side button that lets me pause the music so I can talk without removing the earbuds. I do wish I was able to change out the piece that goes over top of the ear for a smaller one. I have small ears and that piece doesn't quite fit right around the top of my ears, but it's not much of an issue as the buds stay in nicely regardless.

I liked these so much, I bought a pair for a gym buddy who lost his earbuds on the Metro. He likes them too!

Seriously, just buy a pair. You can't go wrong.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews&sortBy=helpful"
"1574954085-4746","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Devin","Terrible audio quality","October 22, 2018","The first few seconds of the first song I played with these headphones made it apparent these are cheap and the audio quality is poor.  Sounds as if the bass is blaring on these suckers and that is conflicting with the audio quality

UPDATE:  LETCOM contacted me numerous times.  The first time, I said I would happily accept a proposed refund and if they were willing, would test out another pair of headphones (they claimed they would).  Received the refund and that makes me happy, but did not update my rating.  They contacted me 6 more times in total and so here is my update.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews&sortBy=helpful"
"1574954111-4863","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","K'La & Drew K.","These stay on a whirling dervish! Best quality for the $$ in my opinion!","July 2, 2019","First, I am an aerial performance artist and dancer and *rely* on my headphones to be able to train, choreograph, abd warm up before sets. Music is my life. These were on sale, so i gave them a try. i was pleasantly surprised. And these headphones stay on even while i'm spinning like a dervish upside down. rare that earbud-style headphonez do that! For the price, these headphones are amazing. they pair quickly and seamlessly; they can pair to two devices at once (i pair my phone and mp3 player) the sound quality is not quite what you can get from full headphones but for earbud-style headphones like these - the sound quality surpasses my usual go-to brand of earbuds (taotronics). The button controls are intuitive and straight forward. i like the extra buttons for spund adjustment. The noise cancelling ability is on par with othet earbud style headsets, could be better. Finally, my only beef with these is i eish the cord was firm, not loose, or a least shorter. i've managed to catch them on one of my batons and pull them off. for most uses, though, i dont think that this woukd be a problem. overall, a good brand to watch, and excellent quality for the price.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews&sortBy=helpful"
