web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574951838-1283","https://www.amazon.com/product-reviews/B019U00D7K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Kelly","I'm sure Bose or the more expensive headphones are better at noise cancelling","December 12, 2017","These are $70 noise cancelling headphones, I'm sure Bose or the more expensive headphones are better at noise cancelling, but you get what you pay for. That being said, I loved these head phones. I had 18 hours worth of flights and I knew I needed something that would be comfortable and block some of the noise. I did a lot of research and these were recommended to me, and for that I am thankful. They were super comfortable to wear. I am a TERRIBLE sleeper on airplanes, so I end up moving a lot trying to get comfortable, these stayed in place the whole time. The noise cancelling function was better than I expected, but still not 100% perfect. But again $70 vs  $300. I could definitely tell a major difference when I turned it on. I didn't have any problems listening to music or the in-flight movie with the noise cancelling function on. I know other complained about that, I did listen to a podcast but not an audible book- I didn't find problems with any of the sound.

They were so comfortable that I didn't mind wearing them around the airport. This was big for me as I hate having things covering my ears, it was a pleasant surprise.

They held up great on the trip. I would like a harder case, but I had no problems. I charged them overnight before I left and they lasted through the whole trip. Not sure how many total hours- I didn't have them turned on or in use for all the flights.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&pageNumber=53&reviewerType=all_reviews&sortBy=helpful"
"1574951806-1136","https://www.amazon.com/product-reviews/B019U00D7K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","J. Vaughan","Great Headphones!","August 15, 2017","I got the headphones earlier today and got them charged up. I was pleasantly surprised to see how they were made and constructed.  They are a bit heavy to hold, but once they were on my head, they didn't feel as heavy at all.  In fact, I was amazed how light they felt wearing them.  The sound quality is beyond excellent.  I was also amazed at the stereo separation.  The bass is good as well as the rest of the sound spectrum.  It was nice to hear such detail in most any song I played at a reasonable level and at a much higher level.  I was however, I bit unsure about how they sounded with the noise cancelation turned on - it made the mid range sound a bit exaggerated and left the highs and lows a bit lower.  However, I did notice that any ambient noise in the house was reduced.  The only thing I did not like was the power switch as it was a bit hard to turn on or change from one setting to another.  It's not a big deal, but it does take a bit to adjust it. I really liked how I could adjust the volume or change tracks I was listening to with the same button, very nicely designed feature.  They paired with my iPad Pro flawlessly and quickly.  Overall, a great set of headphones that I would recommend to anyone looking for a reasonably affordable, quality set.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_arp_d_paging_btm_38?ie=UTF8&pageNumber=38&reviewerType=all_reviews&sortBy=helpful"
"1574951752-894","https://www.amazon.com/product-reviews/B019U00D7K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","jennifer kimelewski","They don’t actually do noise Isolation or active noise cancellation.","March 10, 2019","I was going to use the product in school to cancel my load classroom as I work independently. It was claimed that these headphones use “noise isolation” ( which blocks out noise passively and without use of power ). I put them on when I got them and tested out the feature. There was no difference from wearing them to not wearing them. So I though, “okay, maybe they need battery power before they can isolate noise, for some unnecessary reason.” So I let them charge for 8+ hours and put them on. Still no difference. I turned on the active noise canceling feature ( which technically isn’t part of the product according to the manufacturer’s list of “extra features”). Active noise canceling SHOULD have replace the noise of the outside world with another noise, which it didn’t. There was still no difference from wearing them to not wearing them. I didn’t even bother testing if the Bluetooth worked or if it even produced sound. I just shipped it back. To any cowin employees, here’s a manufacturing tip; don’t claim that your product has something when it really doesn’t.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews&sortBy=helpful"
"1574951739-833","https://www.amazon.com/product-reviews/B019U00D7K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Mark E.","Required office equipment.","March 14, 2017","Awesome headphones!!! I bought these for work.  I share a very large office another person and needed something to block his constant talking to himself. I have several other Bluetooth sets of headphones be I can't turn them up load enough to dround him out without doing damage to my hearing (I've tried). These work magnificently!!! The sound quality is exceptional, very very close to my Bose headphones but at less than a quarter of the cost. Highly recommend these.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews&sortBy=helpful"
"1574951769-967","https://www.amazon.com/product-reviews/B019U00D7K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Melissa","Meh. Okay headphones. ***UPDATED***","October 10, 2019","Absolutely does NOT cancel noise...I can hear my cat meow WITH music on through them...yes, I had it on noise cancel...

Sound is okay. Nothing really bad. You get what you pay for...

THREE STARS

**************************************************************************************************************
I want to keep the original review because, in all honesty, they are not noise-canceling. But, Lexi, from Cowin Corporate reached to make a deal with me. And, she sent me a totally different set of headphones (SE7) and I have to say that once you get the hang of synching with each device each time you use or change devices, they work pretty well. The noise-canceling function works on the SE7 - and I have a loud partying neighbor upstairs and I kept my sanity all weekend with them on. Also, they are just as comfortable for my tiny female ears. My father found them comfortable as well and he has manly ears. For simple headphones that are comfortable and play music = E7. For noise canceling function + comfy + music = SE7.

FIVE STARS (and I was happy that they wanted to fix the situation, thanks Lexi!)","4.0 out of 5 stars","Next page→","https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews&sortBy=helpful"
"1574951797-1093","https://www.amazon.com/product-reviews/B019U00D7K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","KrazyKat1531","Amazing service and product","October 13, 2019","I definitely love these headphones! I was looking for something to cancel out background noise so I can concentrate better on my studies when I found this. They offered a 1 day shipping when I bought them and I was so excited when I got them the next day.  I open the package and the packaging itself was beautiful. I was not expecting that. It felt like I was getting the real deal headphones. I still haven't thrown the packaging out and it's been two weeks haha. The headphones itself is great for the price I paid them for. It won't completely block out noises like people talking loudly, but it will block out background noise. Listening to music has also been more fun since I got these headphones since I will walk around the house and it is still playing.

I also have to mention that I thought my volume was off on one side and I thought that there was something wrong with the headphones. So I contacted the seller and they immediately responded within that day. They offered to replace the product, so that was really cool. The next day the volume was fine, so I actually didn't need a replacement. But the fact that matters is that the seller has amazing customer service because they responded right away and offered to replace it. So overall, these headphones are great!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&pageNumber=34&reviewerType=all_reviews&sortBy=helpful"
"1574951795-1088","https://www.amazon.com/product-reviews/B019U00D7K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Happy Amazombie","Excellent value for noise-cancelling headphones.","July 25, 2019","I already own a pair of higher-end Sony noise cancelling headphones (wired only), but was looking for something bluetooth compatible to help get through a extended hospital stay. These are an excellent value for the money. Cost less than 25% of the Sony's, but are 99% as good when it comes to sound quality and noise cancellation.
A couple of caveats:
They are heavier than wired-only due to weight of rechargeable battery. Not significant but notable. Comfortable over the ear for extended periods (I fell asleep many times with them on and no issues with discomfort).
Battery life: Tested with noise cancellation on and off. With noise cancellation off, easily met the 30 hours between charges as advertised. With noise cancellation activated, battery life drops to 8-9 hours. Acceptable to me, but be aware of how you intend to use them.
All in all, very satisfied for $ spent.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&pageNumber=33&reviewerType=all_reviews&sortBy=helpful"
"1574951834-1263","https://www.amazon.com/product-reviews/B019U00D7K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Sven Christen Bybee","Good sound for the money, flimsy construction (Updated)","April 26, 2019","I have had this set of headphones for a while. I was generally pretty happy with them. For the money I felt they did the job, and well. The sound was fairly good, and the sound canceling helped in my office setting. However yesterday I had them sitting in my lap and they started to fall, I brought my legs together (not even quickly, or hard) to stop them from falling and the two ear pieces snapped off. BOTH! The attachment of the ear pieces to the head piece is extremely delicate. I was shocked they both snapped and so easily. They are completely unusable now and don't even power on for some reason. I won't say that no one should buy these, but BE AWARE they are delicate and the ear pieces break off very easily.

***Changed to 5 stars, because Cowin immediately offered to replace my headset. There was no hassle in getting it taken care of. I really appreciate their concern for their customer's satisfaction with their product!***","5.0 out of 5 stars","Next page→","https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_arp_d_paging_btm_51?ie=UTF8&pageNumber=51&reviewerType=all_reviews&sortBy=helpful"
"1574951787-1046","https://www.amazon.com/product-reviews/B019U00D7K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","rcragun","Seemed okay but no longer work (UPDATE)","April 6, 2019","I bought these primarily to use while I was mowing the lawn and doing yard work. They seemed to work well. I don't think they actually do any real noise canceling (not actively, at least), but they blocked out a fair amount of noise and I could hear my podcasts while I worked. After about a year of roughly weekly use, they started dropping the bluetooth signal from my phone that was in my pocket. It started out as irregular, at first, but, over the last few months, it became pretty constant - every 10 seconds or so it would drop the signal and I couldn't hear my podcasts. I tried re-connecting the headphones with my phone and adjusting various settings. I then bought some new bluetooth headphones to see if it was my phone. The new ones (a different brand) work perfectly. It's not my phone. It's these. They worked fine for about a year but now are useless. I know they aren't super expensive, but I'd like more than a year's worth of use for the price.

[UPDATE: In August of 2019, someone from COWIN reached out to me because of this review. They said they would replace the headphones for free in return for me updating my review. I added a star to my review for the good customer service. I appreciate their willingness to try to make customers happy. That is laudable.]","3.0 out of 5 stars","Next page→","https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&pageNumber=29&reviewerType=all_reviews&sortBy=helpful"
"1574951746-861","https://www.amazon.com/product-reviews/B019U00D7K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","CCCCC","Balance of sound quality and price","January 15, 2018","It is a good headphone - nice sound quality and great values. I like it because
1. This headphone is not too light nor too heavy
2. comfortable on your head.
3. Sound quality is great for this price point.

What I wish for:
1. less plastic
2. I should get the red one.
3. Base is a bit too heavy","5.0 out of 5 stars","Next page→","https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews&sortBy=helpful"
